reviews,sentiments,ratings
Good sound and bass like this soundbar,Terrific,5
"Unexpected product, sound and bass are excellent and quality of the product is awesome.",Best in the market!,5
"After 21 days of extensive usage, i am writing this review..
Changing from 4 starts to 5.. At first i thought the sound quality was just average, clarity was good.. But after 10 days of burning those speakers, they started showing their real quality. The clarity is great, the bass is good.. Music mode is the best for surround sound kinda feeling. Connectivity is good, it connects fast with my tv, and mobile. You can hear the dialogues of movies quite clearly and its impressive. Loudness is ...
READ MORE",Simply awesome,5
Really the product is the value of money.Superior sound quality and bass is really good.,Best in the market!,5
"Worth on your money !!!
1. Sound quality is quite good
2. Bass is just awesome
3. Built quality is strong & steady
Overall good product in this price segment",Worth the money,4
"NICE PRODUCT

For this price it's a good option.
Sound is good and the bass is okey...
But we don't have option to control the bass and trouble.....",Nice product,4
"This Audio product from MIVI is really awesome!!

How??
The crystal clear sound with perfect bass made it a valuable system for audio experience.
I have tested with each of the modes available in the soundbar and it throwed super sound along with quality sound.

I would recommend you to buy this product. Go for it!!",Perfect product!,5
"Hello everyone!

I have used music products which costed from 1k all the way to lacs, however i dont write review but this product really worth my time to write about it.

For INR 2700 this us the best product i have ever used, it feels very fine sound in the ears pleasent to be more specific no matter volume is 20%, 50%, or even at 100%. No distortion at all.

3 equaliser modes are great to make sound more compatible to what you're listening.

Well its a sound bar don't expect it will repla...
READ MORE",Excellent,5
"Very good sound quality. Bass is also very good... Afterall it has 2 subwoofers. Not all connectivity options are available but it has 3.5mm port and coaxial port to work with new as well as old TVs, and ofcourse bluetooth to go with your smartphone. Overall a value for money product! Here are some pictures after I unboxed it.",Super!,5
Sound quality is superb,Best in the market!,5
"I loved MIVI Product.Build quality is very good and sleek design,Excellent sound bar MIVI Fort S60 for this price, I am very happy with the product, Sound quality,Bass and connectivity work like charm, Special Bass is mind blowing.It is very easy to install and connect, Sound quality is much better than other highly priced products, Bass and treble are simply superv,2 in-built subwoofer.Even the sound is very very loudly,Full cinematic sound. I am completely love with this product, Don't thi...
READ MORE",Awesome,5
Nice product....,Simply awesome,5
"Excellent, good build quality, bass is good in music mode, movie mode for cinematic experience and news mode for clear voice, should have provided hdmi connectivity, got gaana 6 months free subscription, much value for money compared to competitors boat, noise. More over was impressed, mivi proved that India can produce such kind of quality electronic gadgets, quality not compromised, except remote, remote connectivity and quality need to be improved, for small hall or room s60 is fine, s10...
READ MORE",Terrific,5
"One of the greatest products of Mivi
Really loved it!
It's bass, it's audio quality, it's designs, it's everything is just great of greatest!
It has everything of a home theatre squished inside a sound bar!!
And lastly it is amazingly cheaper than the home theatres!!!",Perfect product!,5
"One of the best product I have ever used.... The audio sound the the volume is so refreshing.... All I can say the speaker is so nice you can use it on television, laptop and in you wall also... I Highly recommend this product to you guys, please go and order it ... You won't disappoint for sure",Fabulous!,5
"Upto 5k ,this soundbar is awesome with good quality of sound and bass.
Don't think too much, just buy it.",Perfect product!,5
"Superb 🏅
To be honest .. I checked all sound bars and finally bought it..
My budget was around 15k
And I got the same quality in 5k
Superb made in India for India by Indian 🇮🇳",Must buy!,5
I am reviewing this product after using it for 5months. Totally worth product for the money paid. Connectivity and sound quality can be improved a bit. For a built in subwoofers the bass is really good. I recommend this product and thanks mivi for an amazing product at a good price.,Terrific purchase,5
"After few days use
Fabulous bulid quality
Premium design
Well balanced sound with deep base and treble
Sound output with aux and Bluetooth is same
A very useful remote with 3 sound mode
Honestly bass is much more then what i expected
Value for money soundbar",Mind-blowing purchase,5
Just Awesome... Everything is up to the mark... 100 out of 100 from my side.,Perfect product!,5
Nice product nice bass value for money,Really Nice,4
"Its aawsome...ITS HUGE
Bass is aawsome
Song quality very good very balanced
Bass is not overpowering treble
Love it😍😍",Good choice,4
"Best quality 👌👌👌👌👍 I proud of make in india
Thanks for flipcart",Excellent,5
Sound Bass good,Good choice,4
"Best @ price

Pros -
* Affordable
* Build Quality
* Multiple connectivity options
* Less to No distortion even on full volume
* Covers area upto 250sqft like a boss
* Bass thumb is impressive

Cons -
* Remote quality is average
* Everytime u switch ON the bar it will start with Bluetooth mode only irrespective of what ever your last selection was.
* More sound modes required, there are only 3 modes (music, movies, news)
* Remote do not have bass/treble control option.

Overall a good product ...
READ MORE",Classy product,5
Loved this sound bar Bass is dope and sound quality is OP 💯👌,Worth every penny,5
"Product is very good, very good packaging, best sound quality, adapter, aux cable and remote are available in accessories, best appearance, wall hanging facility available, colour is very attractive and easy to use, good bass quality and sweet sound",Excellent,5
Sound quality is awesome and the build quality is fantastic the sound is best in this price range i don't expect that awesome product it's a very best product for your tv or your home to make yours TV's voice louder 😍,Must buy!,5
I am totally satisfied with the sound quality of the soundbar it's very clear and has a very good bass and most importantly it has so many different connectivity mediums that make it even more useful and secondly the clarity of sound is just awesome,Just wow!,5
"well i don't know what to say that sound quality is extremely good , i mean it don't have dedicated woofer but man inbuilt one almost mimicking the same effect",Great product,5
"Writing this review after 4 to 5 days of usage.

Things I like are:-

1. The hight tones were excellent at this price segment.
2. The Bass was terribly good.
3. Great for listening songs with high bass.
4. The Bluetooth connectivity is great.
5. Build quality is good.
6. Look is awesome and looks good near wall mounted TV.

Things i don't like are:-

1. It can only be connected to a single device(via Bluetooth) at a time. Expected to be a minimum of 2 devices to be connected simultaneously.
2...
READ MORE",Really Nice,4
"Omg! The quality of this speaker is just awesome, no words for this. Bass is good because of inbuilt subwoofer, don't thing so much just buy it. In the box you will get speaker, remote, Aux, Battery, Adapter.
Guys belive me sound quality is out of my expectations and the built quality of this sound bar is just great.",Terrific purchase,5
"I ordered this the moment it launched because I trust Mivi for MADE IN INDIA 🇮🇳 technology.
First of all I want it clear that this is NOT A BATTERY 🔋 BACKUP SOUNDBAR. It needs electricity ⚡️ for its running ( simple plug 🔌 is enough).
So if you are planning to use this for your travels and all, not for you.
It’s best for homes where we can keep them in one place. Attached to tv or for your gym (I am personally using this for my home gym). 60 w is perfect for your awesome 🤩 TV VIEWING ...
READ MORE",Wonderful,5
Excellent Product I must say. The sound and bass quality doesn't feel like it's coming from a 3k sound bar(I got it for 2700 under a sale). You won't feel the need for an external woofer that's for sure and even other sounds are well balanced and don't distort even at Max volume. I am very satisfied with this product and definitely suggest it to others if you want to transform your TV sound quality. Good Product Mivi.,Great product,5
"I'm genuinely impressed by this product, Mivi really got this one nice. I have been using it as my daily driver and I'm genuinely happy by it's built and specially performance! It's loud and crisp at full volume and has good enough base. I found ""Music"" mode to be best for the pump and ""News"" mode if you want much lesser bass. Connectivity is pretty good as well although I would loved if they had feature to add multiple BT connections at the same time.
Rest assured, it's a pretty nice soundbar !",Simply awesome,5
The sound quality is so good n clear and base is so good .it has 4 speaker and have various modes. Bluetooth is connecting smoothly. It also has aux support.advantage is it's a indian brand real made in india .,Just wow!,5
"Keeps its promise with mesmerizing sound.

Made in india product, superb quality, sleek design, multiple port with easier for connectivity, finally mivi launched this amazing soundbar which is really value for money.
Amazing product and satisfied with voice quality after 4 days usage.Hdmi, aux and Bluetooth connectivity are stable.
The audio quality is great crystal clear and the subwoofer will shake your house 🏘️.
Connect to your Dolby digital TV which ARC and feel the quality of the sound....
READ MORE",Simply awesome,5
"Wow......wow........wow
This product is just amazing. Everything about this product is so good.
Sound quality
Look and feel
Wallmounting
Bluetooth
Remote controls

I tested with my mobile and tv.
Excellent ♩♬♪ base and sound clarity..
I never xpect in this price value...",Excellent,5
"The Mivi Fort S60 is a total value for money product.

- The packaging was super nice as expected from Mivi. The soundbar is quite good looking in this black colour.
- Has good connectivity ports at the back. Supports Bluetooth 5.0 which is very convenient and makes it a multipurpose device. The bluetooth connectivity is also quite strong.
- Comes with a remote, a power adapter and an aux cable in the box.
- It's not very heavy and it is overall built really well. No complaints overall.
- ...
READ MORE",Perfect product!,5
"No need of extra subwoofer. You can feel the thumping bass even in very low sound. Crystal clear sound. Recently I've removed my old intex 4.1 subwoofer & bought Mivi fort S100. Firstly, I was scared about bass...now I'm 1000% satisfied that I made the right choice. Premium look & built quality, value for money easy to connect and obviously Made in India. Sound lovers must go for it. My two children are enjoying it with their phones 😊😊",Fabulous!,5
"MIVI Fort s100 - Best soundbar in this budget
Sound quality - 10/10 instrumental sound and vocal is very clear
Bass - 8/10 bass this good without any dedicated subwoofer
Build quality - 9/10 although base is plastic but the upper portion is almunium which looks really premium",Just wow!,5
"Worth the money, Decent bass and terrible. Good sound quality",Really Nice,4
"The sound quality is very good, Bass is super and strick the heart.
But one thing remember it gives the output best according to the input song quality.
Connectivity very easy and easily reconnect with device. Looks nice and you can put it anywhere as all the speakers are covered with grill. No manual bass and treble control through remote.
Low budget people can go for it because within this price range it is best.
Overall quality of the product is impressive.
Some photos are given for yo...
READ MORE",Awesome,5
Amazing sound and quality bass in speaker so good in hall area and every scale in music is enjoying through this speaker.. i checked it out with cinema mode and also cricket mode and normal mode in TV settings it's quit in all modes..it's always give best of out with tv,Must buy!,5
Value for money,Excellent,5
Good sound 😍😍,Terrific,5
Bass is ultra legend 💪😀 and quality of music is also very good i purchase in 2800 so I think in this budget this is best ever,Classy product,5
It's really worth it I'm happy I purchased that thank you mivi 👍,Super!,5
"Awesome sound bar, it is perfect set even for 55 inches TV, Nice in sound quality, awesome design, flexible with AUX , Bluetooth, USB , AND HDMA options, nice in sound effects and recived in budget price, even we can take it for outings and picnics easy to carry and easy to use",Awesome,5
"Very good sound quality and fast connectivity and sound bar with great sound and bass quality Premium looks and best product comparative other major brands.
I've tried playing all kinds of music and find clear voice even at loud volume.
Overall well suited bar
Sleek design gives it premium look overall I am happy with this bar worth buy value for money soundbar",Terrific,5
The product is wonderfull for the given price . You will get a clean bass and clean treble.I would recommended this product at this price and rate this 5 in terms of price and quality.,Highly recommended,5
It's a very good product. I'm so happy.,Perfect product!,5
vere level item 🔥👏🏼👏🏼👌🏾👌🏾,Brilliant,5
Pretty good soundbar which comes with 2 woofers in this range. Comes with wireless and with wire connection. You can also control bass and treble from the remote control after from basic controls. You can also connect with other devices through Bluetooth hdmi port is also available good with this price range,Simply awesome,5
Bass Ore poWli Movie mode excellent 👌 full volume sound no destruction clear,Super!,5
"Best in this price range
Pros:
Neat and clean design.
Can connect aux or other cables even if the bar fixed to wall.
Sound quality is nice.
Bass is superb for this price range.
Has a solid feel.
The sound is perfect even in higher volume.
The sound modes are okeish.
Perfect for a medium sized hall

Cons:
The remote is an utter-flop. Can't change the mode or source if the position of remote is not aligned with the bars IR receiver.
Bluetooth is the default source. So every time we switches o...
READ MORE",Really Nice,4
After long search for soundbar Ends with Mivi Fort S100. I would say this is a premium soundbar at this rate. The sound quality is really good with good Bass effect.The in build subwoofer is well designed and produce right amount of Bass effect in the room. You will never feel that seprate sub woofer would have good option. I hope in the coming year they will add dolby audio in the sound bar. I would say this product is better other Chinese products.,Perfect product!,5
"A nice product. Has good bass and sound quality. The built quality is also good. Appreciate it as an Indian Product and is worth the price with built in subwoofer.

Some limitations which is not as expected are
1. Does not have a display to know the mode, Volume level.
2. By default starts with BT mode. Need to switch to Aux mode every time, which makes it difficult to operate by elderly when connected to TV",Really Nice,4
"This soundbar is too much value for money, easy to use, easy connectivity, and pleasing bass.
One Con: If you want it to use as a TV’s speaker, every time you turn on, you have to press the aux button, as it starts on bluetooth mode by default.",Awesome,5
"Superb....!!!! Fantastic 😀
I'm very much happy with this soundbar. I was looking for a good soundbar with adequate amount of bass.But surprisingly this Mivi Fort S100 bar produces sufficient bass, crisp mids and highs for your medium size room which will not bang your head. Watching movie is delight like gunshots, blasts etc.Sound is superb. Just feel like a dolby sound while connecting to hd videos with blutooth . Bass is fantastic. At this price best sound bar . Built quality is super. . U...
READ MORE",Fabulous!,5
Sound quality is amazing! Battery backup is great along with connectivity is pretty awesome. I love the bass as well as the quality of the sound! Mivi always amazes me with their different ranges of products! This one is the best soundbar speaker from mivi.,Just wow!,5
"Sound is very clear, base also good .",Good choice,4
"Unbelievable!
A Quality Soundbar with 2 Subwoofers at this price. This is really Mindblowing. I am using this from a week & just impressed by the Audio Quality Of MIVI FORT S60.
The bass is really impressive & far better than any 2.1 Hometheater.
I strongly recommend this to those who are willing to buy a Soundbar or Hometheater for Best Quality Audio & Rich Bass in budget segment. HIGH END SPEAKERS, which gives Great Dialogue Delivery/Vocals including background instrumental effect as well...
READ MORE",Must buy!,5
The sound bar is just awesome . A Very good sound quality considering the price and also a good bass is provided wit the sound bar also it has some cool modes which is also effective and considering the price I am glad to rate this made in india product 5 star,Mind-blowing purchase,5
"Thiw MIVI soundbar is a bang for the buck . Got it for around 3299 in the sale , and it is worth every penny. A 100 W sounbar with inbuilt subwoofers . Powerful bass ,and totally gives a cinematic experience while watching a movie .There are 3 different mode music, movie and news . Also it is made in india ,so a big thumbs up for that",Worth every penny,5
Everything is perfect but the main problem is this soundbar doesn't support HDMI ARC for Mi TVs but it is perfectly working for other branded TVs.Even I contacted mi Service agent but unfortunately there is no other solution for that. Except that this product is worthy. Nice design good sound quality reach bass even you can feel the cinematic experience,Perfect product!,5
"Worth the money spent.
Bass: Good
Clarity: Awesome
User Friendliness: Yes, Very much.
Remote quality is also good.

Value for money product.

Con: No in built battery. Hence, Can only be used while power is provided through adapter.",Highly recommended,5
Aswome Sound and Build Quality,Must buy!,5
Awsome speakers...i feel like i am in a theatre ! Bass is really good ! Dont expect bass of a sperate subwoofer ! But still it's perfect bass ! Clarity is v good.... ! Kudos to mivi ! Only con i felt is everytime we poweron it starts on bluetooth mode !,Brilliant,5
"Budget Sound Bar at its best from Mivi. The Mivi Fort S100 is a good looking and simple in asthetics soundbar.
It has got a very balanced sound with proper highs and mids. Though the bass could have been better.
It has good connectivity and had seen no issues so far.
So if you are looking for a budget entry level speaker look nowhere else than this Made In India brand MIVI.",Worth every penny,5
"Made In India 100W Bluetooth sound bar, in-built subwoofers with in Rs. 5000 range, awesome. Sound quality is very clear and very good. Options are there to change audio by selecting Music, Movie & News mode. HDMI/Bluetooth/Aux/USB/Coaxial all options are available to connect with TV/Mobile.

Wall mounting needs little adjustment, otherwise looks tilted towards front side.
Remote works but not from any corner of the room. Needs to use straight in-front of the Sound bar. Not an issue since no...
READ MORE",Nice product,4
"I used was last 3 months, no issues, and good sound quality and it's suitable for small family's and small hall, overall feedback in very good product...plsss choose it",Nice product,4
Good sound,Terrific,5
"Best Sound Bar From Mivi in this range. Packaging is also good.
Glossy finished black colour body looks charming and also very long.
MIVI fort S60 has many connectivity mode like Bluetooth - AUX - USB all those working pretty well.
It's also have remote which works on decent distance.",Worth every penny,5
"This soundbar comes with dynamic design and superb in build quality . I am searching for soundbar from last month and came to know about this product . It perfectly fits my budget and fulfills my expectation in each and every possible ways . It comes with multiple connectivity option like Usb ,aux , Bluetooth etc . Sound quality of this sound bar is also amazing . Crystal clear sound ,bass and vocal . It definitely your experience of your activity related to it . At this price ...
READ MORE",Excellent,5
"Giving review after 3 Days of Non-stop use:
1. Bestbuy in this price range.
2. Truly 100watt sound with heavy bass.
3. Coustomer service works flawlessly if any issue and warranty
is also great.
4. MiVi is best brand which provides made in India Products.
5. Sound quality is so good that Every single Tune came with
Great experience.

In all, No comparison exist to this Soundbar.
Definately give this a try. You will love it",Terrific,5
This sound bar is of very good quality and it is perfect for big living room because it is of 100 watt. It's Bluetooth connectivity is quite good and it's two subwoofers makes it a perfect one for daily use.,Highly recommended,5
"Mivi 100 is a excellent soundbar. Packaging is excellent.
Soundbar build quality is excellent.
Bluetooth connectivity is superb.
Aux cable provided. Getting connected by changing pference in Remote.
Sound quality is good, Bass is good and enough.
Overall It is a good product.
Support Indian Products.
Best wishes.",Brilliant,5
"Great product, loved it. It was the last thing to complete my room setup and it was just what i needed.",Highly recommended,5
"Bang for the buck.. A worthy sound bar with good sound quality and bass... This packs some power.. the input that you give matters the most...

Sound quality is not the best I've heard but good for the price... I love the sub bass of this soundbar, which is quite good without any cracking...",Perfect product!,5
"just give it 2 days to burn in, and always keep in movie mode, then see the magic and potential of this beast. Keep it in music mode if you don't want your neighbours not to complaint about the volume.",Terrific purchase,5
First time use for sound bar ..... I am really like it. THANKS FOR MIVI,Classy product,5
"At this price different kinds of speakers available in market &store..bt this sound bar is very good.. look, sound,bass..proud make in India",Best in the market!,5
Best Soundbar in this price segment. Don’t think just go for it And thank me later,Highly recommended,5
Sound quality superb and bass quality also wonderful...,Terrific purchase,5
Budget lo best product,Highly recommended,5
"Proudly by indian product 🇮🇳🇮🇳🇮🇳,",Perfect product!,5
"The sound clarity and bass are amazing.
However, HDMI Arc to LED doesn't work, and Aux to LED produces low voice.
While switching sound modes, one cannot hear which one has switched to and also automatically switches to Bluetooth if you have selected any other mode. Provided remote is not properly compatible as one has to press several times to perform any task. Raised ticket with customer service which is really bad and no response or resolution provided.

Pros:
Sound
Clarity
Bass
Build
...
READ MORE",Decent product,3
I love mivi sound bar I like indian product and this is very extra good sound bar to me and remote is not good but bass is very extra ordinary,Good,3
"Excellent Design And Built
Sound Quality is also good bass is superb the Quality of inbuilt 2 subwoofers are good
Connectivity options are more like HDMI, Bluetooth and it comes with Bluetooth version 5.1, Coaxial, Aux
Multiple Equalizer like movie, news, music
Sound quality- 4/5
Bass -4/5
Connectivity-5/5
Overall happy with the product -4/5",Terrific purchase,5
"This suundbar is One of the greatest products of Mivi
Really loved it!
Bass quality is good!
Finishing is premium!
Sound quality is amazing!
It's bass, it's audio quality, it's designs, it's everything is just great of greatest!
It has everything of a home theatre squished inside a sound bar!!
And lastly it is amazing product of MIVI which fulfill my music satisfaction!!
finally i said to buy this product and feel the music and realized the music in low budget
with and premium quaility of mu...
READ MORE",Must buy!,5
"Really Loved this Mivi Fort S100 Soundbar ! Impressive Sound Quality , Heavy & Powerful Bass , Cinematic Sound Quality , Sleek Design , Multiple Ports make Easier for Connectivity , Finally Mivi Launched this Amazing Soundbar which is really Value for money . Five Star for Its Super Heavy Bass 🔥",Fabulous!,5
Honest Review: I have a 55inch TV and i wanted to buy this speaker because the sound effects coming from the TV is not good. This speaker looked good and Bass is good. But it's not loud!! It should be around 40W to 50W. Not 100W for sure!! I contemplated for few hours and then decided to keep it as it serves the purpose. Movie mode is the loudest mode. So I am using it to watch literally everything. But I can't complain for the price i got 3299 which is okie.,Does the job,3
This is really good sound bar I have ever purchased. I gifted it to my brother and its sound quality is really amazing and its bass quality very good it comes to subwoofers which makes it a perfect sound bar of 100 watt,Best in the market!,5
"Best value for money product. I was looking for a affordable sound bar. This one ticked all the boxes. Sufficient bass, good sound, fast connectivity and GREAT looks. Couldn't be more happier.",Worth every penny,5
Woww just like a bhoom very nice time to delivery 👏👏👏👍👍👍👍,Fabulous!,5
Amazing product I loved it there is no sound distortion in it and sound is awesome,Perfect product!,5
Best soundbar in the india BUY it NOW,Just wow!,5
nice product at reasonable cost,Wonderful,5
Sound quality is Very bad sound it's like radio don't buy this product.,Very poor,1
The sound quality is very loud and bass is descent.,Fabulous!,5
Nice product I like,Good quality product,4
Good sound paisa vasoooool,Highly recommended,5
Sound is awesome and bass also high. Only thing is connectivity. It not syncing with TV. Every time i turned off and on it is not connecting automatically even if it in HDMI mode. Rest everything is superb. You can't fit it to wall as it is heavy in weight.,Good choice,4
Great product with awesome sound quality. The design and looks are premium and durable. It comes with remote which help in functioning and easy to use. Bass is also good. Best soundbar. Over all great product for this price. Worthy and amazing.,Classy product,5
"Good sound quality, there is 3 modes of sound transmission namely movie,music and news mode this will help u to adjust sound requirements.
Pros:
* Better sound
* Bass in movie mode
* Connectivity Good
* Build quality superb
* Indian brand
Cons:
* First most negative is remote so hard to changes.
* 100W is not at all big in hall
Conclusion:
Better to budget teams very value for money product
Rating: 4.2/5.
Remote 😣👎",Pretty good,4
Superb Sound... Awesome in this price range.. New life to LED TV with good sound. Build quality is also good.. Improve only Remote quality it should not operating from all angles... Working only when you sitting straight in front of soundbar.,Good quality product,4
"Furstly made in India and prkduct is too good. Sound is super and no questions about it. The issue is with
1) remote lag
2)hdmi do not work
Rest everything like looks, quality is too good",Wonderful,4
Overall Good Soundbar..🤩👍👍,Wonderful,4
Good Speaker,Good quality product,4
I feel indian`s best music brand 2022,Good choice,4
"One of the best soundbars I have ever used.
First of all it looks really good and build quality is awesome.
It also works with Bluetooth so there is no need of wires being hung around here and there.
The sound quality is of the charts. Not evening joking the bass is so deep and clear without any distortions.
Best purchase made under 5000.",Classy product,5
"Received product today only Rs. 4999...
Excellent performance, Sound , Bass, Design , Connectivity and 2.2 system excellent.
I really enjoyed it ..
My rating 5 star",Fabulous!,5
Baas Wonderful And Sound Quality Normal ❤️❤️,Mind-blowing purchase,5
"Was Really Impressive with the bass, it made the mark as i played the first Bass Song. The quality is real good and the output will be just as you expect. .
clarity; 9/10 for
Bass; 9/10 for
Treble; 9/10
Port 1/10 (installation is not done - | unboxed the product myself
Connectivity-5/5 Overall happy with the product -4/5.
Made in india 🔥",Terrific,5
"This is something I dint expect from a budget speaker like this. Guys just fo for it of you are looking for best quality from a 3.5k soundbar. I have used boat Avante sound bar. JBL aura and portables, which cost much more than this one. But sound quality is best in this. And the bass doesn't over power the vocals. Boat ahd that problem. You won't be able to use boat Avante for just general usage on tv. Because it's bass makes you sick. But this soundbar is best in all those aspects. I found...
READ MORE",Terrific purchase,5
"What a great sound bass .. happy to use it even on full volume no distortion in sound , sound is very clear love this mivi s100",Classy product,5
Such a amazing product becz it has next level of sound clarity n bass at reasonable price. When I was playing music in this soundbar then everyone around me got amazed to hear its sound quality. U must opt this one.,Terrific,5
Sound Quality is also good bass is superb the Quality of inbuilt 2 subwoofers are good Connectivity. It looks good with home set and,Just wow!,5
Awesome product with amazing sound quality. Real value for money. We all started loving this and it will make all gathering and events happening. Such a wonderful device.,Just wow!,5
Good design and premium built quality. Sound quality is also good bass is super. The quality of inbuilt subwoofers are good. One of the greatest product from mivi. Everyone must try this.,Must buy!,5
"I had ordered this product(Mivi Fort S100 with 2 in-built subwoofers) from Flipkart. The packaging from Flipkart was with superior quality and sturdy to avoid any transport damage on top of the base packaging from Mivi. The delivery was on time as always from Flipkart. Now coming to the soundbar quality, looks, fit and finish, in every aspect it stood up to the expectation. With crisp clear sound clarity along with requires bass and treble it is definitely going to enhance your viewing experi...
READ MORE",Fabulous!,5
"Crystal Clear Sound and Perfect Bass.
In this price range, sound quality is praiseworthy.
Stylish sound bar look will make your place awesome.",Fabulous!,5
It's amazing soundbar. Best Indian soundbar. Movie mode very interesting. Songs overall super. Sound quality super. Fast delivery and safe delivery. Value for money. I love indan product mivi. I not use hdmi arc cable but I use blutooth and aux. You like watch movie your best option and you like listen music your best option. Sound quality super and bass is balanced not boaring.,Terrific purchase,5
"Awesome built and quality.... Good sound quality.. bit disappointed as the thought I had in my mind related to sound and volume is bit low, but good clarity.. must buy at this price range..... Thumbs up",Awesome,5
Awesome sound clarity,Terrific,5
Good sound bar with clear sound but you need to use full volume for rich bass. This soundbar is only effective for 10x10 rooms you can't experience good sound on bigger rooms recommended for those who need decent sound experience to watch movies,Simply awesome,5
As it's Indian brand awesome product . Sound is also good. Good product made by Indian brand,Terrific,5
Average rating not as per expectation.,Slightly disappointed,2
"Osm sound
Good prodb
Bass is good",Awesome,5
Veryi bountiful nice mivi proudak good 👍😊,Highly recommended,5
Very good soundbar... Loudly & Proudly MADE IN INDIA,Brilliant,5
"Sound Quality is superb, recommended for all music lovers. Go for it.",Brilliant,5
To be honest . Not very impressed . Sound is distorting even at 50 % volume and trouble is too off . Bass is ok but not very punch . I would prefer buying a normal 2.1 with subwoofer than buying this product .,Nice,3
"In description it ha sbeen written as 149cm but it was around less than 90 cm why ?? But it was a good product at best price and sound quality,bass ., 👍🏻",Terrific,5
Really so nice,Terrific purchase,5
Very good quality .,Good choice,4
Clear sound quality bass very nice,Perfect product!,5
"QUALITY PRODUCT
BEST IN SOUND QUALITY
BEST IN BASS QUALITY
BEST IN DESIGN
BEST WITH PRICE RANGE
GOOD BYE",Worth every penny,5
"Bass is good because of inbuilt subwoofer

& Really my mom like this product
Base of this subwoofer is owsm
If you connect this with tv & watching movies u feel like you are in cenima hall
Love you mivi ❣️",Wonderful,5
"I was the first to buy this Soundbar...and as always faster delivery by Flipkart
Built quality is very good
Design is quite good
Sound.... Premium Cinematic sound by Mivi, best Sound i have ever heard.",Great product,5
Not supported hdmi cable mi 4A tv,Does the job,3
Not bad,Fair,3
"Unbelievable Sound with amazing quality. Loved the product. Bluetooth gets connected very fast.


This is really awesome and would recommend everyone to go for it. Any smart TV would have only 20 Watts or 30 Watts but this Soundbar has all options like HDMI, 3.5 mm AudioJack, bluetooth, sound cable input. Base is just stunning. I can see sound getting divided and its crazy.",Great product,5
"I will rate flipkart and mivi customer care, pathetic and it needs lot of improvement. As far as product is concerned, it has got good music and bass in this budget range of products having boat and Blaupunkt.

I hope company will take care on following, to make it best in the competition.

1 it should have the buttons on the left or right side, also quality of buttons need improvement
2 The display light blue or red needs to be brighter
3 The music introduction is very low, and need to be...
READ MORE",Value-for-money,4
Nyc product,Excellent,5
This is an excellent soundbar. I had previously used Yamaha 109 with subwoofer but I didn't like it and I sold it. This soundbar exceeded my expectation. This is truly for an Indian listener. It punches above its price. You really don't need a subwoofer with this.,Best in the market!,5
"I was waiting for MIVI to release the soundbar, writing this review after 3 days of extensive usage. For a 100w 2.2, this is actually a good buy.

Pros:
- There is no cranky noise when kept at a higher volume.
- Build and design are really good.
- Bass is quite good.
- Bluetooth connectivity is very good.
- It is definitely a better soundbar than the competitors like Boat, JBL, Samsung etc. in this 100w range.
- Price is very much justified with the output this soundbar gives.
- The 3 modes ...
READ MORE",Decent product,3
Nice sound quality do not think just buy it ✌🏻👍🏻🤓,Best in the market!,5
Better..... not one of best.,Pretty good,4
"Sound quality super and bass quality also to great love it . it's designs, it's everything is just great of greatest!
This product is just amazing.🔥",Highly recommended,5
