reviews,sentiments,ratings
"Look -90%
Display quality -95%
Sound quality feel Dolby Atmos
Bettery - 70%
Rear camera average quality 100/65%
Front camera amazing 🤩",Brilliant,5.0
"Superb camera...👌👌👌
Superb battery...👌👌👌",Wonderful,5.0
Nice phone,Awesome,5.0
"Nice phone
worth for money
Camera and performance good as well",Value-for-money,4.0
Nice 👍,Best in the market!,5.0
Good product really good.,Worth every penny,5.0
Camera is very powerful,Excellent,5.0
"I am really happy thanks for OnePlus
Phone is looking very good 👍
And all is very good",Delightful,4.0
Good,Highly recommended,5.0
AMAZING,Super!,5.0
Good mobile camera battery performance Good value for money,Simply awesome,5.0
Fantastic phone,Highly recommended,5.0
Camera is too good 👍.,Nice product,4.0
This price batter phone OnePlus Nord ce3 lite,Super!,5.0
Good design is very good if it's not great. The performance is very good but if the camera is not very good then it will go away The mobile is very good in this price range.,Nice product,4.0
Phone is outstanding but camera is very bad,Just okay,3.0
"Superb
I am so happy 😊 😊",Must buy!,5.0
"Absolutely perfect..phone
Awesome camera quality
Charging speed 👌",Excellent,5.0
Very beautiful,Decent product,3.0
Everything is Good overall best experience with OnePlus,Very Good,4.0
Nice one,Wonderful,4.0
Amazing,Fair,3.0
Good 😊,Excellent,5.0
Superb 🙂🙂,Classy product,5.0
Good 👍,Great product,5.0
Good 👍👍👍,Terrific purchase,5.0
"Well, If You are not a Pro Camera User then you will have No issue with this device. For Most Of the General User It is more than good Enough.

1. Battety is Very Good

2. Display is Good Enough, You're trading Amoled Display for the Oneplus Brand name here. Do, remember that.The Build of the Phone is very good, You will feel that immediately once you grab it on your hand.

3. OS and other system functions flawlessly(You will Have a premium experience here for sure), although Not a Pro gami...
READ MORE",Value-for-money,4.0
Good looking and nice smooth working 🤩 lovely 🌹,Mind-blowing purchase,5.0
Nice camera 😍,Great product,5.0
"Display is average, No official One Plus Apps Store, Everywhere is displaying Ads even in calendar, Basic Apps are not there, MIUI from RedMi is much better than OxygenOS.
Charging is Fast, Camera is average, Design is Awesome.",Nice product,5.0
"Product is awesome, OnePlus never disappoint you. Battery is awesome.it give excellent performance while you using this. Camera is excellent picture is excellent . worth for money. I am really happy with the product",Wonderful,5.0
Don't trust the camera quality details.not well as expected.rest of the features are well and nice one,Must buy!,5.0
"After 5 days used experience was perfect 💯
I like potrait pictures 🌟
Battery 🔋 back up in 0-100% is 24hr +
Gaming la lea awesome 👍
120hz display awesome 🔥",Terrific purchase,5.0
One plus nice,Super!,5.0
Display problem,Nice,3.0
NYC phone review after 8 days.,Really Nice,4.0
Camera quality is not good as expected. Battery backup is nice. Design and OS is best. Phone performance is very good till now. After few days if there will not be any hanging problem it will be best.,Fabulous!,5.0
Happy,Decent product,3.0
"It's okay for the price and configuration. Was using realme 6 with 8 GB Ram which was slightly better in performance.
There are no major heating issues sometimes it's becoming warm. Overall a nice phone but could have been better.",Good quality product,4.0
Good product this price range and camera quality is good,Wonderful,5.0
Super,Best in the market!,5.0
"One plus getting down
4years I used Realme 6 now suddenly I'm feeling that I'm downgraded to OnePlus
Display is fully blurry",Does the job,3.0
Awesome.,Good choice,4.0
Very nice performance in this range. Comparable with iPhone.,Brilliant,5.0
Super,Great product,5.0
Awesome,Fabulous!,5.0
nice 👍 but could have been best.,Nice,3.0
Camera performance is very poor,Could be way better,3.0
Nice pic,Excellent,5.0
The design and display is good. Camera quality avg. Overall good.,Good choice,4.0
Masst phone all accessories fast charging sweet s camera,Highly recommended,5.0
Nice phone..good performance...but camera is not bad...satifacty,Simply awesome,5.0
One of the best product 🤗💐,Best in the market!,5.0
"Absolutely nice right now, but I heard from some one that after software UI updation one plus hanset's screen liner used to be happened so I feel little scared of it, will it really happened or not? Can I know the result?",Good choice,4.0
Good,Brilliant,5.0
Super mobile,Must buy!,5.0
Very good product 🙂,Best in the market!,5.0
Selfi camera quality very poor,Very poor,1.0
Very nice,Best in the market!,5.0
Very nice product,Must buy!,5.0
Good one .. tks,Classy product,5.0
Good Phone and company OnePlus,Worth every penny,5.0
One plus phone is unbelievable,Excellent,5.0
It is the best according to the brand and the performance is very good,Simply awesome,5.0
Ovarall Good,Good choice,4.0
Everything is good,Value-for-money,4.0
This product is very good 👍,Mind-blowing purchase,5.0
"I would say big disappointment for this price.
Device hangs often when we launch applications with high ram and decent processor.

Camera is okay. Not so good . Don't expect real results for 108 mp.

Battery is okay satisfied.",Just okay,3.0
Best in budget,Wonderful,4.0
Value of money not so good,Value-for-money,4.0
Awesome colour Delivery also safely tq flipkard,Brilliant,5.0
Nice,Highly recommended,5.0
"Looking and performance good, worthy product in this price",Pretty good,4.0
"Very bad phone
camera quality very low",Don't waste your money,1.0
Good phone,Must buy!,5.0
"Don't go on 108 bro
Camera quality is very very bad",Fair,4.0
Nice product,Terrific purchase,5.0
The phone is very cheap in build quality. Do not purchase the phone ever.,Not recommended at all,1.0
Good 💯,Just wow!,5.0
Very nice,Pretty good,4.0
Overall happy,Great product,5.0
Ok,Wonderful,4.0
Camera just,Highly recommended,5.0
Nice,Excellent,5.0
Good 😊,Delightful,4.0
Camera is not upto the mark.its a normal same like other phone.,Moderate,2.0
Nice,Nice,3.0
Just ok camara is good but charging problem,Fair,3.0
"Excellent phone, one shortage, no dedicated slot for memory card.",Highly recommended,5.0
Mast buy,Classy product,5.0
The product is user friendly and light. The battery life is also as expected.,Highly recommended,5.0
Supper quality,Classy product,5.0
Good,Fabulous!,5.0
According to price all things is best but Camera is not good,Perfect product!,5.0
Good,Very Good,4.0
Ok,Good quality product,4.0
Very good,Terrific,5.0
Good,Nice,3.0
Everything is good..only bad camera,Good,3.0
Okay okay product,Delightful,4.0
Not good,Not recommended at all,1.0
Amazing camera phone,Value-for-money,4.0
Video calling not work properly,Useless product,1.0
Osm,Terrific,5.0
"One plus was always a great phone , perfect for everything, Strong durability, Perfect camera and many more",Awesome,5.0
Scratches on the phone and many more problems,Hated it!,1.0
Excellent 👍,Mind-blowing purchase,5.0
Good,Super!,5.0
Good phone in this price ❤️,Worth every penny,5.0
"Design was good,
Camera was nice as per 108mega pixcel
Look wise awesome",Terrific,5.0
"Worth the money,",Terrific purchase,5.0
hii everyone. In my opinion it's a very good mobile in this price range. it's picture quality is amazing and sound also.so i suggest u all for this product. thanks a lot.,Wonderful,5.0
Exalant,Simply awesome,5.0
Wasting money for buy this product,Decent product,3.0
Superb,Just wow!,5.0
👍🏼🙂 nice,Worth the money,4.0
Great Mobile,Just wow!,5.0
Good 👍,Worth every penny,5.0
Very stylish phone,Perfect product!,5.0
Super,Wonderful,4.0
Good,Fair,3.0
Very powerful camera good mobile,Just wow!,5.0
"It is all about the company, I want to order another but mistakenly I chose this and now not able to return it as it is asking irrelevant questions. if you have a return policy of a week then it should be returned without any question. It also depends on the customer's choice whether he likes it or not. Very bad first experience with One Plus. Samsung phones are far better than this.",Very Disappointed from Return Policy Conditions,1.0
Good,Terrific purchase,5.0
Super very happy,Awesome,5.0
Please make the display comfortable for human eyes.,Excellent,5.0
Good mobile.. thank you filpkart,Worth every penny,5.0
Nice product,Terrific,5.0
All,Must buy!,5.0
Everything is good but battery backup is not upto the mark,Good choice,4.0
"It has bocus camara, if you wish to buy one plus wanting to have good camera..i would suggest not to purchase this phone.",Decent product,3.0
Osm,Terrific purchase,5.0
Good product.,Classy product,5.0
Very good,Brilliant,5.0
Camera quality is Not good,Could be way better,2.0
Nice,Worth every penny,5.0
"Better battery Life
Quality camera",Good quality product,4.0
Good company quality,Great product,5.0
"Battri backpack not good
Bad charger not fast bad charger",Does the job,3.0
Good product by oneplus,Good choice,4.0
Very nice,Must buy!,5.0
I like,Very Good,4.0
Nice camera and overall experience is best for this price,Brilliant,5.0
Very bad product this is very expensive but performance very bad,Did not meet expectations,1.0
Goood,Really Nice,4.0
Mindblowing purchase,Excellent,5.0
Nice 👍 product,Brilliant,5.0
Osm product ❤️❤️❤️❤️,Terrific purchase,5.0
Camera amazing,Great product,5.0
God,Good choice,4.0
"Features are li'l bit older.. battery is too low quality, not so much durability. As i know new battery is last for minimum 2days. But in this phn i charged more or less 2times in a day. And camera quality is also poor. 🥲",Bad quality,2.0
"Product looks amazing, battery also doing good, even its all features.. But performance still under process as it hasnt taken enough timw to be under my belt. Hope it does maintain its reputation for long.",Mind-blowing purchase,5.0
"Bast Phone and Bast Cemra battery 🔋
Delivery To time delivered 🫶🏻",Classy product,5.0
Very nice,Super!,5.0
Excellent phone in this price from OnePlus.,Excellent,5.0
Brilliant products,Great product,5.0
Awesome,Value-for-money,4.0
"Switched from andro to i phone... 😅.
Phone color is not that too much dark purple but looks good. In love with big screen.😍😍😍😍 . I bought a feeling not a phone.",Best in the market!,5.0
Nice phone with great camera. My 1st iPhone and I m loving it,Terrific,5.0
Super phone . camera is super😍,Brilliant,5.0
"Great Performance
Camera better than iPhone 13
Battery backup also good
Iphone 14 plus is just awesome.",Fabulous!,5.0
Camera is really good and battery performance also too good. Now apple has inbuilt photo edit options which is really nice to make your photos much better one.,Terrific purchase,5.0
"SUPERB
Go for it guys without hesitation, great in hand feel ,, superb camera , awesome battery backup ,
Starlight Colour looks premium,
6.7 inch crisp display, Camera 5/5 performance 5/5
Very happy to have apple 14 plus,Thanks flipcart for genuine product delivered on time",Brilliant,5.0
"Its good phone, value for the money.",Perfect product!,5.0
Amazing ☺️ thank you flipkart,Awesome,5.0
Just wow I cannot express my feelings ❤️😍,Simply awesome,5.0
I love the pictures and the night mode was awesome.... Mind-blowing product..,Brilliant,5.0
I think the iPhone 14 Plus is the king of Battery Life. iPhone 14 Plus Camera is also very good. All rounder iPhone in every department..,Wonderful,5.0
Excellent iPhone 14 plus❤️👌,Classy product,5.0
Awesome camera quality,Wonderful,4.0
camera quality is superb. Battery is also decent. Overall experience is good.,Terrific,5.0
The picture quality is good I purchased this i14+ for camera uses,Best in the market!,5.0
This is a power packed product considering the price. It comes with 33% more battery and 0.7 inches larger display than the base model. Camera is superb in terms of video recording(cinematic mode and normal mode of 4K format). It feels like iphone 14 pro max in hands from the front. A revolutionary product.,Terrific purchase,5.0
Phone is beautiful,Excellent,5.0
Best quality and battery backup is too good,Classy product,5.0
Amazing Product.,Fabulous!,5.0
"Superb.... must purchase ! first time switched from android but not feel such an issue working fine as all options avilable here ,Camera is best and Battary is huge.",Excellent,5.0
I like it very much 🤩🤩🤩🤩🤩,Brilliant,5.0
Super,Pretty good,4.0
Value for money,Simply awesome,5.0
Noice😍 overall but Lil bit Miss 120hz although received in good condition,Terrific purchase,5.0
Very good product,Fabulous!,5.0
"Great Phone at this price range, 60hz refresh rate feels smooth, great camera,big screen, good battery backup and superb for gaming. What else can anyone ask for. Highly Recommended 😍.",Highly recommended,5.0
Superb,Terrific purchase,5.0
"The mobile is lighter than the iphone 13. The big screen looks good and display is crunch.

I charged the mobile 100% and still 30% of battery life is left after moderate use of 1 n half day.

I ordered blue colour and its look very subtle and cool. Just loved it.",Perfect product!,5.0
Ossm product delivery and costomer survice is good❤️thank you Flipkart before I thought thet the product I 'll get original or not and return policy is also changed on Flipkart but now I get original product and don't face any issues with delivery related so I recommend to all of you guys...,Just wow!,5.0
"Camara 😍
Amazing phone
Never disappointed you
Love iphone 14 plus (blue colour 128gb)
With the blue colour the device was lit 😍",Good choice,4.0
"JUST WOW ,

BATTERY 🔋 ISS BEST",Just wow!,5.0
"I've been using the iPhone for seven months now, and I want to share my thoughts, especially if you're thinking about switching from Android to iOS.

First off, I really like this phone. It performs better than any Android phone I've had. But there's a learning curve, especially if you're used to Android, because there's no dedicated back button.

In my opinion, this iPhone is best for people who use their phone for work and don't play a lot of games. It has some nice features, but it doesn't...
READ MORE",Fabulous!,5.0
"Writing this review after using for 2 days.
Camera 5/5 - Slightly better than iPhone 13
Display 5/5 - Huge n smooth display🤩 Looks like iPhone 13 pro max from front
Battery 4/5
Performance 5/5
Overall loved the phone. It's totally worth it🤍",Classy product,5.0
Best mobile ..Battery performance also good,Best in the market!,5.0
Everything perfect with this smartphone,Worth every penny,5.0
Very good,Awesome,5.0
"Simply awesome!

Iphone 13 was already good enough, but 14 offers even more improvement in every way.

biggest noticeable thing is the display, it's crisp and smooth and colours are vivid.

And think everyone knows about quality of photos from iPhones!, Iphone 14 offerd best ever camera photo quality yet on iphones.

very happy with the purchase!",Mind-blowing purchase,5.0
Wow 😍..... Its amazing 👌👍,Great product,5.0
"Superb!

Loved it😍",Worth the money,5.0
"Good product with good battery backup, overall good quality",Fabulous!,5.0
Best ever I phone in it's battery performance and big display.,Must buy!,5.0
Great,Awesome,5.0
Camera quality is awesome .Good and worthy phone.Display is 6.7 inch and battery backup is very good easily comes for 2 days without charging.60 hz refresh rate it doesn't affect much .,Wonderful,5.0
Good 👍,Terrific,5.0
Simply awesome product. Sound quality is very good .,Terrific purchase,5.0
"Thank you Flipkart, for excellent service. I received it sooner than i Expected. Open box policy before accepting the product is excellent. I received a genuine Apple product.",Must buy!,5.0
Gud,Just wow!,5.0
"Awesomeness
Awesome camera
Awesome battery life
Little bit slow some time",Perfect product!,5.0
My first iPhone i am so excited and display is awesome. everything is too good thanks Flipkcart,Fabulous!,5.0
"Camera is awesome
performance is superb
Battery is fabulous
Look is being
Overall itself hot love it",Great product,5.0
"Switched from Android to ios and in first empression. It's flagship in terms of looks,premiumness, sound,display and Big battery. Loved it",Best in the market!,5.0
"Amazing Beast
Battery is very powerful you can use it full day in single charge just go for it camera quality is super powerful and works very smooth",Mind-blowing purchase,5.0
"It is best in everything
camera 5/5
display 4/5
battery 5/5
performance 5/5",Awesome,5.0
Awesome phone battery back up is very excellent.,Best in the market!,5.0
"A worth it iphone , some clicked by this",Terrific,5.0
Wow 🥰🤩,Wonderful,5.0
"Very good product 👌 👍🏻 👏
And super performance 👏",Best in the market!,5.0
Feels amazing to use it switching from android to ios a totally new interface but the processor is top notch battery is long lasting display is amazing and sound too. Camera of the phone is just next level with the clarity and specially the videography is cinematic mode is just mind blowing. Really impressed with iphone 14 plus,Perfect product!,5.0
"Amazing purchase from Flipkart! Fresh iPhone 14 plus. Excellent and genuine product. Worth every penny. I recommend you folks to buy lens protector and screen guard sold separately. As we know before, we have to buy Apple Charger separately 😉",Worth every penny,5.0
I recommend totaly good product from this price it is a better product from another comprision that price range .my dream to bought this product from few years thanks Flipkart,Fabulous!,5.0
The best,Classy product,5.0
"The iPhone 14 Plus is without a doubt the most amazing phone I've ever had the pleasure of using. From the moment I first held it in my hand, I could tell that it was a truly special device. The build quality is exceptional, with a solid feel that leaves no doubt in your mind that you're holding a premium product.

One of the first things that struck me about the iPhone 14 Plus was the screen. It's absolutely gorgeous, with bright colors and stunning detail that make everything from movies to...
READ MORE",Must buy!,5.0
I am so happy 😀,Mind-blowing purchase,5.0
Great experience with mobile love the camera,Terrific purchase,5.0
"I was using Google pixel before this device and i can tell you if this is as good camera as pixel in day light but its much better in ambient light

Bigger screen gives you rich screen experience

Seamless transition among apps

So if i am able to feel better experience",Terrific,5.0
"Shifted from Android to Ios for the first time. Below are some observations of 2 months:
1. Immediately noticed buttery smooth experience. Everything is very quick on ios. App opening, app loading, changing any settings etc.
2. Camera performance is excellent. Liked the portrait mode very much.
3. Battery perfomance is excellent as well. I am getting 7-8 hrs of SOT even not charging fully. Usually I unplugs around 80%
4. The shortcuts app. We can create various shortcuts for automating tasks...
READ MORE",Simply awesome,5.0
Performance is very NYC,Delightful,4.0
"Excellent look, Superb Camera, Amazing battery backup",Great product,5.0
"Best mobile,best camera",Just wow!,5.0
Awesome camera with best performance,Fabulous!,5.0
"Best iPhone yet.
Coming from regular 13 (6.1 inches), I noticed some significant upgrade. It took me 10 days to fully get used to this new size which is not heavy. And now this plus feels so normal & actually perfect size for me 😄. For those wanting to try new stuff with iPhone, just get this size and its weight easily compensates for its large size (if that ever becomes an issue )
Display : More vibrant with better Dynamic range than iPhone 13 (noticed this very quickly),ProMotion (I tried ...
READ MORE",Excellent,5.0
Best phone,Best in the market!,5.0
Good luck,Awesome,5.0
Awesome camera and design. But performance is not so good. heats up faster while gaming. 12-15 hrs backup if you use the whole day without playing games..but for gaming 3-4 hours. Overall it is good. Just a single problem of heating.,Classy product,5.0
Just okay,Wonderful,4.0
"If you want better battery life and bigger display then you can go for it blindly.
My overall experience
Photography- 4.0
Videography - 5.0
Battery- 5.0
Performance- 4.5
Display- 4.5",Wonderful,5.0
My phone got stolen 22 days after i purchased it. It was devastating for me. I got broke seriously.. Idk why i am writing this review it was just perfect. And i miss my iphoneee soo much. It was my first iPhone after using android for so many years. My payment didn't even completed yet i have to pay to the credit card company and my phone is not with me. I wish No one ever face this situation in their life. I just want to say. Stay happy with what u have.. ❤️,Wonderful,5.0
Super I love iphone....😁😁😁,Worth the money,4.0
"Switched from Android to iPhone 1st time.
Its really worth it....
Excellent product",Worth every penny,5.0
Great product with large display long lasting battery 🔋 excellent camera 🤳,Highly recommended,5.0
iPhone 14 plus super phone 👌👌👌👌,Perfect product!,5.0
This product is awesome 😻 Totally satisfied,Very Good,4.0
The camera is awesome.. battery life could have much better,Worth every penny,5.0
Very good product.,Excellent,5.0
Awesome 👍👍👍 and beautiful 😍😍😍 and very nice 👍👍👍,Best in the market!,5.0
Camera is better than android but not as dslr.you can buy this product for better image quality and for look cool.overall good product,Wonderful,5.0
"The Iphone 14 plus is the best deal for the money!, it has the best battery backup in iphone lineup (used for 40 days now) and has one of the best camera setup! But if you're someone who wants optical zoom or distance photography please remember that it has only 5x zoom and it has a huge display and if you really like a bigger display the go for 14plus it may take some days for one to get handy with this phone. Overall its a perfect phone the only issue i face is the heating of mobile while c...
READ MORE",Great product,5.0
Design is awesome.,Terrific,5.0
"This is an absolute stunner from apple. Most hyped and controversial phone of 14 series. I am amazed with the battery life of this phone coz i heard iPhone have battery drain issues but this one gives me back of more than 2 days. With last 20% it stayed alive entire day. Refresh rate may be 60 hz but higher the refresh rate more the power consumption, this is why it beat 14 pro series in battery backup. More feature in camera video and photo than 13. Its truely amazing iphone 13.5 or 14 whate...
READ MORE",Mind-blowing purchase,5.0
"Camera quality is very nice. Overall iPhone 14plus is latest version 11,12,13 so very good performance. Display size is very big otherwise 11,12,13and 14. My opinion is latest version 14 plus is awesome and very smart.",Just wow!,5.0
"1.Back camera 4.5/5
2.Front camera 4/5
3.Display 5/5
4.Battery 4.5/5
5.Performance 4/5
This is my review after using 10 working days.This is my first iPhone and it is totally different from android phones genuine specifications and features unlike android phones it is very good device.If you want bigger battery for running games and live streaming go for it . Same battery capacity in iPhone 14plus and iPhone 14pro max.",Good choice,4.0
Finally EMI finished without any scratches on my phone 😁,Simply awesome,5.0
Best best phone in this amount,Fabulous!,5.0
Good product iPhone 14 plus,Very Good,4.0
Overall a great buy.. camera is nice..,Really Nice,4.0
Impressive battery 🔋 👀👀,Highly recommended,5.0
"Wonderful phone, first time switching from android to iPhone, so far so good, a worth deal with exchange of 2.5 years used Oppo f15 and handy discount with HDFC credit card.",Brilliant,5.0
"🔸Powerful Processor
🔸Light weight
🔸Big Screen
🔸Great Battery
🔸Beautiful Design
🔸Awesome Camera",Great product,5.0
Good one,Must buy!,5.0
"This iPhone caters to all the purposes of avid users of phones like me. Starting from, camera, display, performance, battery life, sound and all other features are top notch! Really value for money in BBD sale!",Worth every penny,5.0
"I would have gone for Android . It's not worth for 75k . It's equal to 30k Android phones. For this price only 60 fps, no c type. L for apple.😬only battery, camera performance is appreciable.",Very poor,1.0
Colour fading,Worst experience ever!,1.0
This is an awesome piece of hardware with flawless performance,Awesome,5.0
I want to speak one ward :osm,Great product,5.0
Long lasting and best durable smartphone.,Delightful,4.0
The best in class...worth spending 70k for this product🥰🤩,Excellent,5.0
Camera and Battery backup of this phone is too good🔥 overall it's a beast,Super!,5.0
"Absolute beast of a phone.
Display 10/10
Processor and performance 10/10
Camera 8/10
Value 8/10
Gaming 10/10

I got it at a huge discount so I am very happy with this phone. It's a great phone for android users who are used to bigger screens.

I get 2-3 days battery life with this phone with moderate use and some gaming which is not available even on android.

Its lightweight and processor is more power efficient than 14 pro and 14 pro max.

White colour looks stunning.

Camera overall i...
READ MORE",Best in the market!,5.0
Not good as per price paid. Expected more from iphone,Moderate,2.0
"Amazing display
Super jumbo size for those who like watching OTTs etc
Best in class battery
Amazing apple eco system
Camera typical apple, not the best but extremely able
Just go for this",Mind-blowing purchase,5.0
Super..fast delivery thanks to flipkart,Really Nice,4.0
"First time iPhone user. I shifted from OnePlus Nord to 14+. Experience is butterfly smooth.

Pros
1. Camera
2. Face unlock (super smooth even in dark)
3. Voice isolation (great feature even train horn sound is not heard to the person on call)
4. Ram management (make experience top notch)
5. Battery is just awesome. Easily last 1.5 days. On moderate to heavy use. At night battery was at 88% and when I woke up after about 8 hrs it was 88%. That was unexpected.

Cons
1. Rubbish default calculato...
READ MORE",Worth every penny,5.0
Nothing,Absolute rubbish!,1.0
Great picture quality,Worth the money,4.0
"Excellent phone. 14 plus is as large as the pro models, but much lighter. Very good buy",Awesome,5.0
Looks Good! 😍,Worth every penny,5.0
Good specs and quality and also good offer from flipkart,Best in the market!,5.0
Excellent product,Classy product,5.0
Superb just love it... Wowwww,Highly recommended,5.0
Best battery phone,Terrific purchase,5.0
Colour is fabulous good,Super!,5.0
Product is superb 👌,Awesome,5.0
"Good product, All Good, with big battery backup and screen.",Classy product,5.0
Wow such an amazing product,Excellent,5.0
Average,Does the job,3.0
"It's fine product from apple 🍏,go green",Fabulous!,5.0
"Meet the expectations
Delivery is also good
Purchased on bbd 59k",Must buy!,5.0
I am so happy nice phone good camera,Wonderful,5.0
Size is perfect for all entertainment and web browsing. Excellent battery.,Just wow!,5.0
Unbelievable,Must buy!,5.0
Very excellent product,Must buy!,5.0
Awesome 😎,Terrific purchase,5.0
I'm using this phone only for gaming purposes... Not good for photography.. But for gaming it's awesome 😍,Very Good,4.0
First time iPhone user but has been a great experience until now.,Best in the market!,5.0
Amazing product,Terrific,5.0
Super,Perfect product!,5.0
Best decision I have ever made.,Must buy!,5.0
"If you are thinking of buying ProMax just for battery, you got the sensible option !",Awesome,5.0
SIMPLY THE BEST,Worth every penny,5.0
Worth it,Fabulous!,5.0
"Phone is awesome, packing from flip kart is also too good.
Delivered before a day from scheduled.
Open box delivery was done by the delivery person in a very good way. I recommend to all",Fabulous!,5.0
Must buy,Great product,5.0
Camera really good,Simply awesome,5.0
"Superb Battery in this iphone 14 plus.
Battery back up to 2 days.",Highly recommended,5.0
Good performance,Terrific,5.0
Superb,Must buy!,5.0
Good product,Value-for-money,4.0
Best phone ever 😉,Just wow!,5.0
Good,Value-for-money,4.0
"Thank you Flipkart by making the purchase hassle free and providing a better price than most brick and mortar Apple resellers/retailers. It's not a huge jump over the iPhone13 but the size of the screen and features, especially if you're coming from anything less than a 13 is significant. And the battery life is phenomenal. I'm simply amazed with over 10-12hrs SoT and battery life easily extending to over 2 days on a single full charge.","Awesome, as expected",5.0
Everything is excellent.,Simply awesome,5.0
Awesome 👌,Just wow!,5.0
Very good. I LOVE YOU ❤️ 😍 Flipkart,Perfect product!,5.0
Overall design is excellent👍,Pretty good,4.0
Love your self,Simply awesome,5.0
Super,Nice,3.0
I thought blue color would be better for plus but its good for my eyes. Thanks flipkart,Pretty good,4.0
It is good but some heat,Wonderful,5.0
Battery backup good,Brilliant,5.0
Superb,Fabulous!,5.0
"Awesome battery backup, loved design",Brilliant,5.0
"Good product, but havy wait,",Brilliant,5.0
Amazing 😍,Awesome,5.0
New phone,Simply awesome,5.0
"Works 😃
Just 😃
Fine 👌",Classy product,5.0
"Fantastic purchase from Flipkart, fast delivery and discounts. Phone was awesome",Simply awesome,5.0
Good product,Pretty good,4.0
Excellent,Worth every penny,5.0
"Loved the product, bought this during BBD sale.. worth the money",Super!,5.0
Superbbb phone display is too good,Classy product,5.0
Good one,Mind-blowing purchase,3.0
Very good delivery boy and very good delivery,Terrific,5.0
Good phone,Terrific,5.0
"Best iPhone, ever built...",Just wow!,5.0
Nice camera,Wonderful,5.0
Good product 👍,Good choice,4.0
nice experience,Delightful,4.0
Excellent battery,Classy product,5.0
It is awesome,Terrific purchase,5.0
Overall good experience.. camera may increase the quality and resolution,Good choice,4.0
Best product,Must buy!,5.0
Best phone ever,Must buy!,5.0
Same as expected.💪,Classy product,5.0
Fabulous camera and battery performance,Great product,5.0
"Good Product
Mainly Battery Life is also good",Just wow!,5.0
Nice camera,Classy product,5.0
"Awesome camera, best battery backup ever in iPhone history",Excellent,5.0
Camera quality to be improve however overall phone is good,Nice product,4.0
Good,Simply awesome,5.0
"Great product, Thanks seller and Flipkart.",Super!,5.0
Best experience,Mind-blowing purchase,5.0
"Awesome phone.
Nothing to say about it",Terrific,5.0
Excellent iPhone 14 plus,Simply awesome,5.0
Great product,Great product,5.0
Great,Great product,5.0
Good battery backup,Terrific purchase,5.0
Very nice phone,Brilliant,5.0
Good performance good camera all off good,Nice product,4.0
Best ...best..best. I am super happy 😊,Just wow!,5.0
"First time iPhone user.
Fell in love with it.
Pretty smooth experience with interface.
Amazing display and camera.",Highly recommended,5.0
iPhone 14+ is an excellent phone which removes your necessity of iPad. Along with the calling functionality. You have a single device to use for surfing calling and any other task you can do in a comfortable way.,Simply awesome,5.0
