reviews,sentiments,ratings
5Excellent Pure Cotton 👍👍👍,Excellent Pure Cotton 👍👍👍,5
5Very nice socks 🧦😁,Very nice socks 🧦😁,5
5Good product,Good product,5
"5Very good product
Thank flipcord","Very good product
Thank flipcord",5
5Nice product to Flipkart tqq 😍,Nice product to Flipkart tqq 😍,5
5Must have..good quality,Must have..good quality,5
3Quality very bad,Quality very bad,3
4Quality product,Quality product,4
5👍 GOOD Quality,👍 GOOD Quality,5
4Quality is as expected... but value for money.. go for it,Quality is as expected... but value for money.. go for it,4
5Superb material.nice to wear,Superb material.nice to wear,5
5Good 1,Good 1,5
5Nice socks,Nice socks,5
5The product it received good quality,The product it received good quality,5
4Nice tshirt....fabric not that good but price worthy looks good you can go for it,Nice tshirt....fabric not that good but price worthy looks good you can go for it,4
5Super t shirt,Super t shirt,5
5Good t -shirts,Good t -shirts,5
5Supar nice,Supar nice,5
5Best,Best,5
4Very good products..... I am happy this products 🥰🥰,Very good products..... I am happy this products 🥰🥰,4
5Osm,Osm,5
4Very good tshirt,Very good tshirt,4
5Sai good 😊,Sai good 😊,5
3Nice product 🔥🤟,Nice product 🔥🤟,3
4My favorite t shirts men cotton,My favorite t shirts men cotton,4
5Very nice Flipkart you are great product💕,Very nice Flipkart you are great product💕,5
5Happy ☺️❤️,Happy ☺️❤️,5
5Very nice product,Very nice product,5
5nice t shirt for summer,nice t shirt for summer,5
5Goog product,Goog product,5
5Very nice product 👌,Very nice product 👌,5
5Very nice,Very nice,5
3It's good,It's good,3
5Very Good Quality.. 🤘,Very Good Quality.. 🤘,5
3This product is very nice and very soft 😘😊,This product is very nice and very soft 😘😊,3
4Supper,Supper,4
5Focus on it,Focus on it,5
5This is so nice,This is so nice,5
5Good product || good very good,Good product || good very good,5
3Ok,Ok,3
4nice,nice,4
"4Good product i Like product
Thank you filpcart 🥰🥰","Good product i Like product
Thank you filpcart 🥰🥰",4
5Best comity t sart👍,Best comity t sart👍,5
5Very comfortable in summer,Very comfortable in summer,5
3This cloth is kk but color is gone with a wash a moment,This cloth is kk but color is gone with a wash a moment,3
3T shirt material not gud,T shirt material not gud,3
3Good NB 🤞,Good NB 🤞,3
5Very nice and worthy product...❤️,Very nice and worthy product...❤️,5
5Very good shirt.🎽....🤗🤗🤗🤗🤗🥰🥰🥰🥰🥰........The fabric is also very nice.🤗🤗🤗🤗🤗🤗🥰🥰🥰🥰🥰🥰,Very good shirt.🎽....🤗🤗🤗🤗🤗🥰🥰🥰🥰🥰........The fabric is also very nice.🤗🤗🤗🤗🤗🤗🥰🥰🥰🥰🥰🥰,5
"5Writing after washing it 2 to 3 times.
Fabric is so much soft, and fitting is good. Sleeves are loose fitting, as shown in official photos given by them.","Writing after washing it 2 to 3 times.
Fabric is so much soft, and fitting is good. Sleeves are loose fitting, as shown in official photos given by them.",5
5It's amazing product with cheap price and it's smooth and very comfortable.i love this product.tq Flipkart 🥰✨,It's amazing product with cheap price and it's smooth and very comfortable.i love this product.tq Flipkart 🥰✨,5
51 number product ❤️,1 number product ❤️,5
5Beautiful😍 very nice,Beautiful😍 very nice,5
5Best 😘😘😘😘😘,Best 😘😘😘😘😘,5
5Good product am happy 😊🥰🥰🥰🥰,Good product am happy 😊🥰🥰🥰🥰,5
5This is product very good quantity,This is product very good quantity,5
5Simply awesome dude😘❤,Simply awesome dude😘❤,5
5Nice 🙂,Nice 🙂,5
5Very nice 👍,Very nice 👍,5
5Nice 👍,Nice 👍,5
5Best quality,Best quality,5
4Nice dress,Nice dress,4
5Nice hooded,Nice hooded,5
"5Very very nice product
I love it
😍😘","Very very nice product
I love it
😍😘",5
5Awesome product but low colitis,Awesome product but low colitis,5
5Very Good 😊,Very Good 😊,5
5Nice t-shirt look that cute,Nice t-shirt look that cute,5
5Nice product must buy,Nice product must buy,5
1Very bad quality,Very bad quality,1
2Not best t shirt looks like average,Not best t shirt looks like average,2
5Nice t-shirt,Nice t-shirt,5
"5Super.
Recent hai must Super.
Decent hair must garnih, comfortable T-shirt.🥰","Super.
Recent hai must Super.
Decent hair must garnih, comfortable T-shirt.🥰",5
3U may expect a fluffly cloth.. Its not... Its very smooth and slippery type,U may expect a fluffly cloth.. Its not... Its very smooth and slippery type,3
5This item is good for the price 👌,This item is good for the price 👌,5
5Chief and best,Chief and best,5
3Value for money,Value for money,3
1Worst material,Worst material,1
1Very Bad 😞,Very Bad 😞,1
5Ok,Ok,5
5Super tiushart,Super tiushart,5
5wow 😲 really a good product,wow 😲 really a good product,5
4Nice 👍🙂 super 😱😳 🥰🥰🥰,Nice 👍🙂 super 😱😳 🥰🥰🥰,4
"5Very nice product 🥰😇
I am happy..","Very nice product 🥰😇
I am happy..",5
2Very bad cloth,Very bad cloth,2
4Super,Super,4
3Nice tshirt 👕,Nice tshirt 👕,3
5Very good,Very good,5
5Thank,Thank,5
5Quality best,Quality best,5
1Very bad quality of this product,Very bad quality of this product,1
"5The fabric is thin but nice, it came exactly as shown.","The fabric is thin but nice, it came exactly as shown.",5
3Good kmpr to price.,Good kmpr to price.,3
5Worth it 😉,Worth it 😉,5
4Nice quality,Nice quality,4
2Quality very po,Quality very po,2
3Ok ok but size to short,Ok ok but size to short,3
"36 set of socks at this price , okay level quality.","6 set of socks at this price , okay level quality.",3
3Nice,Nice,3
2They are short and uncomfortable,They are short and uncomfortable,2
2Quality is very low,Quality is very low,2
2Average,Average,2
2Quality very poor,Quality very poor,2
3Very thin,Very thin,3
3ok,ok,3
3Okk,Okk,3
3The quality was Very poor,The quality was Very poor,3
3Very bad product 😔,Very bad product 😔,3
3Low quality,Low quality,3
3Average,Average,3
3Size was small,Size was small,3
3Not so good quality : Was Okay,Not so good quality : Was Okay,3
3Average quality,Average quality,3
3Not so bad at this price range,Not so bad at this price range,3
2Very bed,Very bed,2
3Nice product,Nice product,3
4Poor quality material but elastic is god and colour are best .,Poor quality material but elastic is god and colour are best .,4
4super,super,4
3Product quality is not so good,Product quality is not so good,3
1Worst 😔 😔 product,Worst 😔 😔 product,1
1Quality is not good,Quality is not good,1
1Quality was not good,Quality was not good,1
1Poor quality,Poor quality,1
1Material is too thin and low quality.,Material is too thin and low quality.,1
1Bed,Bed,1
1Very bad,Very bad,1
1Ok not as expected,Ok not as expected,1
1Not good this product,Not good this product,1
"1Low quality material, don't buy on-line.","Low quality material, don't buy on-line.",1
4Great product,Great product,4
1Very bad product,Very bad product,1
1Waste cloth material,Waste cloth material,1
3Worth of in this price,Worth of in this price,3
3Cotton socks,Cotton socks,3
1Size small . not free size.dont waste your money,Size small . not free size.dont waste your money,1
"1Does not look anything like in the picture, do not buy","Does not look anything like in the picture, do not buy",1
1Low quantity,Low quantity,1
3Poor quality,Poor quality,3
1😔😞 bad,😔😞 bad,1
3Not so good. I just hope it is worth its price.,Not so good. I just hope it is worth its price.,3
2Not good,Not good,2
2Not Good,Not Good,2
3Okay only.not good quality,Okay only.not good quality,3
5Superb,Superb,5
"1Quality is very poor
Length so small","Quality is very poor
Length so small",1
5Beat Quality,Beat Quality,5
5Great.. go for it,Great.. go for it,5
4Its good in this price,Its good in this price,4
4Nice products.. Very good👍 and soft,Nice products.. Very good👍 and soft,4
3Not Much Quality,Not Much Quality,3
4It's okay,It's okay,4
1Local . Cheep. Werst . No good. Bad product,Local . Cheep. Werst . No good. Bad product,1
1Bad product. Never buy,Bad product. Never buy,1
3Okay quality but worth the price because you get 2 pairs of each.,Okay quality but worth the price because you get 2 pairs of each.,3
4Nice Velu for money,Nice Velu for money,4
5Good 👍🌟🌟🌟🌟,Good 👍🌟🌟🌟🌟,5
5Good product.,Good product.,5
5Very Nice Quality,Very Nice Quality,5
1Very low quality and the packaging is pathetic...,Very low quality and the packaging is pathetic...,1
1Worust product,Worust product,1
3Good product,Good product,3
"4good for the price.
gets the job done","good for the price.
gets the job done",4
5Valuable products its good,Valuable products its good,5
3nice one but quality was not good anyways in this price ok.....,nice one but quality was not good anyways in this price ok.....,3
5Awesome,Awesome,5
"4Good material, decent product. Good size","Good material, decent product. Good size",4
"5Quality and design awesome..
Value for money...
Very comfortable and fit perfectly...
Overall good product for lowest price😍","Quality and design awesome..
Value for money...
Very comfortable and fit perfectly...
Overall good product for lowest price😍",5
5Very good and soft fabric,Very good and soft fabric,5
5Good quality and color,Good quality and color,5
"4Best Quality & Cotton Meterial
Free Size Is Perfect For Foot No 10","Best Quality & Cotton Meterial
Free Size Is Perfect For Foot No 10",4
5Very good quality,Very good quality,5
5Good Product. Value for Money 💰👌,Good Product. Value for Money 💰👌,5
5Super super super quality is Awesome,Super super super quality is Awesome,5
4Initially I thought it's cheaper so quality will not be good. it's better than expected,Initially I thought it's cheaper so quality will not be good. it's better than expected,4
4Good quality 😊,Good quality 😊,4
1Not even one star for this product.....I wore it once and the threads starts to peel off even it's not washed once....very cheap quality product...dont fall for it..,Not even one star for this product.....I wore it once and the threads starts to peel off even it's not washed once....very cheap quality product...dont fall for it..,1
"3Very bad product, not pure cotton, very hot feel, please don't buy if you are in hot area","Very bad product, not pure cotton, very hot feel, please don't buy if you are in hot area",3
5Soft and comfortable,Soft and comfortable,5
2Quality not good... 2 or 3 time fit use only... Then it not fit our leg too loose... It will go down sidee...,Quality not good... 2 or 3 time fit use only... Then it not fit our leg too loose... It will go down sidee...,2
1Not good amount total west,Not good amount total west,1
"4Smooth to wear,","Smooth to wear,",4
4Product quality average,Product quality average,4
4Nice one,Nice one,4
4Nice product at 200 range,Nice product at 200 range,4
"5Good Product, Design good too","Good Product, Design good too",5
1Very bad quality 👎,Very bad quality 👎,1
1The socks quality is best,The socks quality is best,1
5Excellent,Excellent,5
5It's very nice but colour was samee,It's very nice but colour was samee,5
5Nice 👍👍,Nice 👍👍,5
5Very soft and good product. My son likes it.,Very soft and good product. My son likes it.,5
5Nice product delivered before time,Nice product delivered before time,5
5nice thank you,nice thank you,5
5Super excited,Super excited,5
5Superb quality,Superb quality,5
1Poorest quality can't say about the product. Do not try,Poorest quality can't say about the product. Do not try,1
2Not good material..not worth it,Not good material..not worth it,2
"2Qulatiy is not good....
High polastry fabric...","Qulatiy is not good....
High polastry fabric...",2
2Price is high compared to quality. Material is thin type.,Price is high compared to quality. Material is thin type.,2
2Veery bad,Veery bad,2
2Bad quality,Bad quality,2
2Material quality not satisfied.,Material quality not satisfied.,2
"2Quality not good, threads coming out after 1st use","Quality not good, threads coming out after 1st use",2
2Elastic is very tight,Elastic is very tight,2
2Waste of money,Waste of money,2
"2Very very worst quelty, The stitching and thread of socks came out only after wearing it two times. by mistake gave 3 stars. Its deserve 1 star only!","Very very worst quelty, The stitching and thread of socks came out only after wearing it two times. by mistake gave 3 stars. Its deserve 1 star only!",2
2After one day of use got hole in in it.,After one day of use got hole in in it.,2
2Poor quality threads are out from inside the socks,Poor quality threads are out from inside the socks,2
2So so,So so,2
2Poor quality product,Poor quality product,2
"2Bad quality, don't buy.","Bad quality, don't buy.",2
2Money waste,Money waste,2
2Low,Low,2
2Totally disappointed,Totally disappointed,2
2BAD SMELL COMES AFTER WEARING FOR 8 TO 10 HOURS,BAD SMELL COMES AFTER WEARING FOR 8 TO 10 HOURS,2
2Poor quality. Better not to go for it.,Poor quality. Better not to go for it.,2
2Quality is poor...,Quality is poor...,2
2Not cotton bad product,Not cotton bad product,2
"2Noticed bobbling just after one use, not of gud quality","Noticed bobbling just after one use, not of gud quality",2
2It's average,It's average,2
2Low quality socks HRX socks 🧦 much better,Low quality socks HRX socks 🧦 much better,2
"2The fabric is thin, smells","The fabric is thin, smells",2
"2Low quality , but can't compalin do to the price","Low quality , but can't compalin do to the price",2
2Poor quality,Poor quality,2
2Poor,Poor,2
1Worst product,Worst product,1
4Nice product in this price,Nice product in this price,4
"1Poor quality...It is more like disposable socks...
Just use and throw kind of... Material is so thin that after single use, lots of holes starts forming....... Reviews are all fake","Poor quality...It is more like disposable socks...
Just use and throw kind of... Material is so thin that after single use, lots of holes starts forming....... Reviews are all fake",1
"1synthetic material, uncomfortable to wear, slips on the floor","synthetic material, uncomfortable to wear, slips on the floor",1
1Worst product has no tenacity or quality,Worst product has no tenacity or quality,1
1Very poor quality and torn fabric.,Very poor quality and torn fabric.,1
1Cheap quality.,Cheap quality.,1
1Very poor in quality and found stitching is not done in some of the portions. Never recommend to buy. Absolutely waste of money,Very poor in quality and found stitching is not done in some of the portions. Never recommend to buy. Absolutely waste of money,1
1Very bad.,Very bad.,1
"1If you are getting this for 150 or below then buy including delivery charges...
Socks are good but not worth 50 rs every piece....
30 rs every piece is reasonable price for this product","If you are getting this for 150 or below then buy including delivery charges...
Socks are good but not worth 50 rs every piece....
30 rs every piece is reasonable price for this product",1
"1So, bad product, Never buy it","So, bad product, Never buy it",1
1Not usable quality. Don't buy. Same price other provide good quality.,Not usable quality. Don't buy. Same price other provide good quality.,1
1Product is very bed,Product is very bed,1
1Worst products.,Worst products.,1
1The stitching on socks is very bad ... Its already coming off from first wear... Please work on the quality. Disappointed by the socks,The stitching on socks is very bad ... Its already coming off from first wear... Please work on the quality. Disappointed by the socks,1
1Very bed products,Very bed products,1
"1Worst quality , very first day threads are coming out","Worst quality , very first day threads are coming out",1
4Use full u can buy,Use full u can buy,4
5Worth buying fit for 6-7 size shoe and great quality,Worth buying fit for 6-7 size shoe and great quality,5
5Very good product,Very good product,5
5Before buying this product I was read their comment some people says this is not good product then i was ordered product and this product was amazing i recommend this product,Before buying this product I was read their comment some people says this is not good product then i was ordered product and this product was amazing i recommend this product,5
4Good Quality 👍,Good Quality 👍,4
5It's good n comfortable for me nice product 🤗,It's good n comfortable for me nice product 🤗,5
"4Good quality and fit also😍
Love it❤","Good quality and fit also😍
Love it❤",4
"2Size is too small. This is for school students, not for adults. This is unexpected. Westage of money.","Size is too small. This is for school students, not for adults. This is unexpected. Westage of money.",2
"5Awesome Product😘
Good Quality Product😘
Thank You😊🙏 Flipkart😘🔥🙏","Awesome Product😘
Good Quality Product😘
Thank You😊🙏 Flipkart😘🔥🙏",5
3Socks are too short for adults.,Socks are too short for adults.,3
5These are so comfort to wear,These are so comfort to wear,5
4Good comfortable now in this price dont know after washing,Good comfortable now in this price dont know after washing,4
5Super product,Super product,5
4Good Quality product.,Good Quality product.,4
4Quality is good and soft,Quality is good and soft,4
"5Worth for money
Quality depends money
Totally good","Worth for money
Quality depends money
Totally good",5
3Very low quality and thin,Very low quality and thin,3
5Nice product good quality must try once 🙂,Nice product good quality must try once 🙂,5
5Awesome 👍,Awesome 👍,5
5Very good condition and good quality,Very good condition and good quality,5
5It's very nice pure cotton i like it very much,It's very nice pure cotton i like it very much,5
5Very good 👍😊,Very good 👍😊,5
1Very poor,Very poor,1
5Wonderful quality,Wonderful quality,5
5So nice 🙂,So nice 🙂,5
5Good quality 😘,Good quality 😘,5
1Waist of money,Waist of money,1
1Not good in cloth and size also very short,Not good in cloth and size also very short,1
1It's very small 6 or 7 size.. Suitable. Even though it's saying free size.. Don't waste your money.. Other wise need to gift to kids,It's very small 6 or 7 size.. Suitable. Even though it's saying free size.. Don't waste your money.. Other wise need to gift to kids,1
1Little short for people with feet size UK10,Little short for people with feet size UK10,1
1Useless product,Useless product,1
1Good,Good,1
4Thanks for flipkart,Thanks for flipkart,4
4Good product. very elegant.,Good product. very elegant.,4
4It's Nye,It's Nye,4
4Fitting are very good go for it without any doubts,Fitting are very good go for it without any doubts,4
4Worthy,Worthy,4
4This shocks are feeling hot.these are very comfortable in winter.not for summer.,This shocks are feeling hot.these are very comfortable in winter.not for summer.,4
"4Nycc socks 🧦
Super Quality","Nycc socks 🧦
Super Quality",4
4Ok good 👍,Ok good 👍,4
4Good according to price,Good according to price,4
4Vry nyc,Vry nyc,4
4Worth for money,Worth for money,4
"4Value of money.
Happy to buy it","Value of money.
Happy to buy it",4
4Good shocks,Good shocks,4
4Good quality in this price,Good quality in this price,4
1The size is small,The size is small,1
"1Worst quality product
thats why they are not taking return
Don't buy","Worst quality product
thats why they are not taking return
Don't buy",1
1Quality change,Quality change,1
1Local product,Local product,1
"1Third class material...
10 rs / pair","Third class material...
10 rs / pair",1
1Bad flikart,Bad flikart,1
1Very poor quality do not buy,Very poor quality do not buy,1
1Worst quality,Worst quality,1
1Low qualite,Low qualite,1
1Money waste,Money waste,1
1This is wrost socks,This is wrost socks,1
1Poor quality don't purchase,Poor quality don't purchase,1
"1Quality is a very bad
Size fit issue","Quality is a very bad
Size fit issue",1
1Cheap quality,Cheap quality,1
1Medium size socks.. not free size.. don't buy,Medium size socks.. not free size.. don't buy,1
"1Size mentioned as free size, but it's suitable to maximum 8 to 9 size.","Size mentioned as free size, but it's suitable to maximum 8 to 9 size.",1
1It's not a free size,It's not a free size,1
"1Very bad stiching, only single colour.","Very bad stiching, only single colour.",1
1Quality very bad,Quality very bad,1
1Low quality,Low quality,1
1Product quality is very bad,Product quality is very bad,1
1Worst,Worst,1
1It's not cotton,It's not cotton,1
1Just adjusting this product,Just adjusting this product,1
1Elastic is very bad . It's became loose just after 10 days using.,Elastic is very bad . It's became loose just after 10 days using.,1
1Waste,Waste,1
1Shocks are too short they are not giving free size instead they will give you small size which will not fit you. They don't have return policy also it's a scam don't buy. Waste of money. 😐,Shocks are too short they are not giving free size instead they will give you small size which will not fit you. They don't have return policy also it's a scam don't buy. Waste of money. 😐,1
1Not comfortable,Not comfortable,1
1Quality be the not good,Quality be the not good,1
1Too short.... Flipkart making us fool by no return policy in this product....shame on Flipkart,Too short.... Flipkart making us fool by no return policy in this product....shame on Flipkart,1
1Product not good,Product not good,1
1Worst material and waste of money.,Worst material and waste of money.,1
1Quality not good,Quality not good,1
1Not good product,Not good product,1
1Not that good at all,Not that good at all,1
1Small size. Waste product. Do not buy this product,Small size. Waste product. Do not buy this product,1
1Defective product.,Defective product.,1
1Size is not fit. But product not return. This very bad,Size is not fit. But product not return. This very bad,1
1Waste product,Waste product,1
1Bad qualuty,Bad qualuty,1
3Good quality...but size is bit changing.... still i love these product in these price... thank you flipkart 🙏🏻✨😇,Good quality...but size is bit changing.... still i love these product in these price... thank you flipkart 🙏🏻✨😇,3
5Superb great I like it excellent,Superb great I like it excellent,5
5Good quality product,Good quality product,5
5Nice product. Perfect fit. Good looking.,Nice product. Perfect fit. Good looking.,5
"2Don't buy please, it's very cheap products.. 🤧😓","Don't buy please, it's very cheap products.. 🤧😓",2
4Good qualities,Good qualities,4
4Very good,Very good,4
5Good too buy it👍,Good too buy it👍,5
5Very good product love it❤️,Very good product love it❤️,5
5Very Nice Product. Those who like thick woollen type socks its good. Can be used while playing sports.,Very Nice Product. Those who like thick woollen type socks its good. Can be used while playing sports.,5
"4Good product, I love it❤","Good product, I love it❤",4
"4The quality of socks 🧦 is very nice
I loved it","The quality of socks 🧦 is very nice
I loved it",4
2Very elastic material. Not good.,Very elastic material. Not good.,2
5Very good material quality,Very good material quality,5
5Good socks well made quality excellent,Good socks well made quality excellent,5
"5Excellent product in this range, smooth,soft and reliability. I totally happy 😁","Excellent product in this range, smooth,soft and reliability. I totally happy 😁",5
"5Nice, comfortable, just like a wow.","Nice, comfortable, just like a wow.",5
5Nice product 😊👍,Nice product 😊👍,5
5quality super thank you Flipkart,quality super thank you Flipkart,5
"55 Star for couple of reasons.
1st for the Flipkart services as I received defective product before but their helpline partners received my queries really well and replaced with a new one within 2 working days.

2nd is the quality of the product. It is worth every penny. A comfortable and decent look makes it a perfect product.

Thanks to the Flipkart team. Cheers!","5 Star for couple of reasons.
1st for the Flipkart services as I received defective product before but their helpline partners received my queries really well and replaced with a new one within 2 working days.

2nd is the quality of the product. It is worth every penny. A comfortable and decent look makes it a perfect product.

Thanks to the Flipkart team. Cheers!",5
5Outstanding Product 👍,Outstanding Product 👍,5
"5Very nice
👌","Very nice
👌",5
4Good 👍,Good 👍,4
3Not bad.Its okay.,Not bad.Its okay.,3
3its quality is not good,its quality is not good,3
3Quality is good,Quality is good,3
3Quality is not upto the mark... Not worth buying...,Quality is not upto the mark... Not worth buying...,3
3Good One for this Price range,Good One for this Price range,3
3Are fine,Are fine,3
3Just ok,Just ok,3
3Not bad,Not bad,3
3Inner side thread will come out... Average product,Inner side thread will come out... Average product,3
3It's not satisfied ...,It's not satisfied ...,3
3Smale issue,Smale issue,3
3Very hot only winter use not gresm use this product,Very hot only winter use not gresm use this product,3
3Its small size... But ok,Its small size... But ok,3
3Worst product,Worst product,3
3Nice 👍,Nice 👍,3
3Not much good quality,Not much good quality,3
3Looking good and comfort to wear,Looking good and comfort to wear,3
3Okay type,Okay type,3
3Not too good,Not too good,3
"3Ok
average quality","Ok
average quality",3
3Socks inside surface is mot delicate and when wearing threads are coming out . If inside surface is interlocked/woven then it can be given 5stars satisfaction.,Socks inside surface is mot delicate and when wearing threads are coming out . If inside surface is interlocked/woven then it can be given 5stars satisfaction.,3
3Nice quality,Nice quality,3
3It's average,It's average,3
3average,average,3
3Mideum quality,Mideum quality,3
3Waste of money,Waste of money,3
4Nice 😘😘🎉,Nice 😘😘🎉,4
2Not worth of money,Not worth of money,2
2Not bad,Not bad,2
2Normal,Normal,2
"2Not gud , every where threads are coming out","Not gud , every where threads are coming out",2
2Very very bed quality,Very very bed quality,2
5It's good & comfort to wear thank you,It's good & comfort to wear thank you,5
3Good products,Good products,3
3Quality is not good after use of 4/5hour it smell,Quality is not good after use of 4/5hour it smell,3
5Value for money.,Value for money.,5
"2Don't buy.. very very worst product..
Quality is poor..","Don't buy.. very very worst product..
Quality is poor..",2
5Good worth for money,Good worth for money,5
4The socks are thick and much better than in the market. I ordered these socks for the badminton and these are perfect for the game .,The socks are thick and much better than in the market. I ordered these socks for the badminton and these are perfect for the game .,4
5Gud product,Gud product,5
"5Just awesome and run long time Good quality you just buy without thinking,,I hope for more good products","Just awesome and run long time Good quality you just buy without thinking,,I hope for more good products",5
5It's assowme brands more than worthy,It's assowme brands more than worthy,5
"4Overall best quality, but size is small approximately 1 inch but using on regular basis it will get adjusted to your feet.","Overall best quality, but size is small approximately 1 inch but using on regular basis it will get adjusted to your feet.",4
5Very good 👍🏼,Very good 👍🏼,5
5Value for money,Value for money,5
1Very bad quality very bad,Very bad quality very bad,1
5Omg Good Quality products,Omg Good Quality products,5
1Product quality is highly poor. Complete wastage of money. Even there is no return policy with this product.,Product quality is highly poor. Complete wastage of money. Even there is no return policy with this product.,1
5Awesome Quality 💯 Very Comfortable Underwear for mens,Awesome Quality 💯 Very Comfortable Underwear for mens,5
3Very perfect fitting. Very soft... BUT quality very Bad...low quality material....,Very perfect fitting. Very soft... BUT quality very Bad...low quality material....,3
5Product is very good quality but black is mismatched but very satisfy me,Product is very good quality but black is mismatched but very satisfy me,5
5This is really nice product I have been using xyxx since 3 years and it's really comfortable.😍😍,This is really nice product I have been using xyxx since 3 years and it's really comfortable.😍😍,5
"5XYXX Men Briefs are a perfect blend of comfort and style. Crafted with high-quality materials, they offer a soft and smooth feel against the skin. The design ensures an ideal fit, providing support and ease of movement. With their great quality and affordable price, XYXX Men Briefs are a fantastic choice for everyday wear .","XYXX Men Briefs are a perfect blend of comfort and style. Crafted with high-quality materials, they offer a soft and smooth feel against the skin. The design ensures an ideal fit, providing support and ease of movement. With their great quality and affordable price, XYXX Men Briefs are a fantastic choice for everyday wear .",5
5It's very beautiful Product owsem material and vary comfortable i am all xyxx Product use in under garment.,It's very beautiful Product owsem material and vary comfortable i am all xyxx Product use in under garment.,5
5XYXX Men Best quality 👌,XYXX Men Best quality 👌,5
5Me buying this product my husband he is very happy he says its comfortable product filling luxurious it's value for money product thank you,Me buying this product my husband he is very happy he says its comfortable product filling luxurious it's value for money product thank you,5
"5Nice product The fabric is very good, soft and smooth, my husband liked it very much....","Nice product The fabric is very good, soft and smooth, my husband liked it very much....",5
5Money full value,Money full value,5
5Musy buy,Musy buy,5
3Colour of product is fading,Colour of product is fading,3
"4Great underwear. For its Looks and comfort i would like to give 5/5 , but cutting one for not giving a short cut window for P to come out while peeing","Great underwear. For its Looks and comfort i would like to give 5/5 , but cutting one for not giving a short cut window for P to come out while peeing",4
"5XYXX Men Briefs deliver ultimate comfort and style. Premium materials ensure a smooth and cozy feel, while the perfect fit guarantees support. An ideal choice for everyday wear.","XYXX Men Briefs deliver ultimate comfort and style. Premium materials ensure a smooth and cozy feel, while the perfect fit guarantees support. An ideal choice for everyday wear.",5
5Febric is good fitting is very good,Febric is good fitting is very good,5
"5Best quality very comfortable
Value for money
Easy to wash and product quality is very good","Best quality very comfortable
Value for money
Easy to wash and product quality is very good",5
5Very soft fabric and comfortable and size is also good.perfect fit.,Very soft fabric and comfortable and size is also good.perfect fit.,5
"5Good quality premium undergarment, it is very soft and for daily use.","Good quality premium undergarment, it is very soft and for daily use.",5
5It's so comfortable 😌,It's so comfortable 😌,5
5Product is comfortable in wearing.. like feather touch,Product is comfortable in wearing.. like feather touch,5
5Soft and flexible underwear...,Soft and flexible underwear...,5
5Superb full smoth,Superb full smoth,5
5Nice quality fabric best in the market,Nice quality fabric best in the market,5
